电影时间：1998 ,电影评分：9.1 ,电影评论：560673人评价 ,电影名称：两杆大烟枪     
电影时间：2000 ,电影评分：8.9 ,电影评论：914070人评价 ,电影名称：西西里的美丽传说  
电影时间：2016 ,电影评分：8.8 ,电影评论：1168163人评价,电影名称：看不见的客人    
电影时间：1965 ,电影评分：9.1 ,电影评论：561239人评价 ,电影名称：音乐之声      
电影时间：1998 ,电影评分：9.1 ,电影评论：605977人评价 ,电影名称：拯救大兵瑞恩    
电影时间：1975 ,电影评分：9.1 ,电影评论：518822人评价 ,电影名称：飞越疯人院     
电影时间：1997 ,电影评分：9.2 ,电影评论：381659人评价 ,电影名称：小鞋子       
电影时间：2009 ,电影评分：8.8 ,电影评论：1295516人评价,电影名称：阿凡达       
电影时间：2011 ,电影评分：9.0 ,电影评论：765427人评价 ,电影名称：哈利·波特与死亡圣器(下)
电影时间：1991 ,电影评分：8.9 ,电影评论：822596人评价 ,电影名称：沉默的羔羊     
电影时间：2006 ,电影评分：8.9 ,电影评论：803324人评价 ,电影名称：致命魔术      
电影时间：2010 ,电影评分：8.9 ,电影评论：904209人评价 ,电影名称：禁闭岛       
电影时间：2014 ,电影评分：8.9 ,电影评论：858503人评价 ,电影名称：布达佩斯大饭店   
电影时间：2009 ,电影评分：9.3 ,电影评论：342126人评价 ,电影名称：海豚湾       
电影时间：2004 ,电影评分：8.9 ,电影评论：875734人评价 ,电影名称：蝴蝶效应      
电影时间：1984 ,电影评分：9.2 ,电影评论：386568人评价 ,电影名称：美国往事      
电影时间：1997 ,电影评分：8.9 ,电影评论：662247人评价 ,电影名称：心灵捕手      
电影时间：1994 ,电影评分：8.9 ,电影评论：778027人评价 ,电影名称：低俗小说      
电影时间：1997 ,电影评分：9.0 ,电影评论：588902人评价 ,电影名称：春光乍泄      
电影时间：1936 ,电影评分：9.3 ,电影评论：278141人评价 ,电影名称：摩登时代      
电影时间：1999 ,电影评分：8.8 ,电影评论：902779人评价 ,电影名称：喜剧之王      
电影时间：2004 ,电影评分：8.8 ,电影评论：1020970人评价,电影名称：功夫        
电影时间：1995 ,电影评分：8.8 ,电影评论：891653人评价 ,电影名称：七宗罪       
电影时间：2004 ,电影评分：8.9 ,电影评论：656199人评价 ,电影名称：哈利·波特与阿兹卡班的囚徒
电影时间：2003 ,电影评分：8.8 ,电影评论：761709人评价 ,电影名称：致命ID      
电影时间：2011 ,电影评分：9.0 ,电影评论：526586人评价 ,电影名称：超脱        
电影时间：2003 ,电影评分：8.9 ,电影评论：654809人评价 ,电影名称：杀人回忆      
电影时间：2006 ,电影评分：9.1 ,电影评论：421011人评价 ,电影名称：红辣椒       
电影时间：2003 ,电影评分：8.8 ,电影评论：805754人评价 ,电影名称：加勒比海盗     
电影时间：2006 ,电影评分：8.9 ,电影评论：666707人评价 ,电影名称：被嫌弃的松子的一生 
电影时间：2012 ,电影评分：9.1 ,电影评论：359420人评价 ,电影名称：狩猎        
电影时间：2017 ,电影评分：8.9 ,电影评论：668483人评价 ,电影名称：请以你的名字呼唤我 
电影时间：2013 ,电影评分：8.9 ,电影评论：517476人评价 ,电影名称：7号房的礼物    
电影时间：1990 ,电影评分：8.7 ,电影评论：986407人评价 ,电影名称：剪刀手爱德华    
电影时间：2005 ,电影评分：8.8 ,电影评论：669482人评价 ,电影名称：断背山       
电影时间：1993 ,电影评分：8.7 ,电影评论：1000546人评价,电影名称：唐伯虎点秋香    
电影时间：1995 ,电影评分：8.9 ,电影评论：535008人评价 ,电影名称：勇敢的心      
电影时间：2002 ,电影评分：8.8 ,电影评论：682454人评价 ,电影名称：哈利·波特与密室  
电影时间：2000 ,电影评分：9.1 ,电影评论：352613人评价 ,电影名称：一一        
电影时间：2008 ,电影评分：8.9 ,电影评论：623267人评价 ,电影名称：入殓师       
电影时间：1999 ,电影评分：8.9 ,电影评论：519572人评价 ,电影名称：第六感       
电影时间：1995 ,电影评分：8.8 ,电影评论：622606人评价 ,电影名称：爱在黎明破晓前   
电影时间：1994 ,电影评分：8.8 ,电影评论：753722人评价 ,电影名称：重庆森林      
电影时间：2012 ,电影评分：8.8 ,电影评论：674639人评价 ,电影名称：蝙蝠侠：黑暗骑士崛起
电影时间：2001 ,电影评分：8.7 ,电影评论：920160人评价 ,电影名称：天使爱美丽     
电影时间：1997 ,电影评分：8.9 ,电影评论：491566人评价 ,电影名称：幽灵公主      
电影时间：1999 ,电影评分：8.9 ,电影评论：554244人评价 ,电影名称：菊次郎的夏天    
电影时间：2014 ,电影评分：9.0 ,电影评论：399546人评价 ,电影名称：小森林 夏秋篇   
电影时间：1994 ,电影评分：8.9 ,电影评论：577101人评价 ,电影名称：阳光灿烂的日子   
电影时间：2014 ,电影评分：8.7 ,电影评论：945030人评价 ,电影名称：超能陆战队     
电影时间：1993 ,电影评分：9.1 ,电影评论：290001人评价 ,电影名称：完美的世界     
电影时间：2004 ,电影评分：8.9 ,电影评论：512686人评价 ,电影名称：爱在日落黄昏时   
电影时间：2004 ,电影评分：9.1 ,电影评论：294424人评价 ,电影名称：无人知晓      
电影时间：2014 ,电影评分：8.7 ,电影评论：867577人评价 ,电影名称：消失的爱人     
电影时间：2010 ,电影评分：8.9 ,电影评论：514092人评价 ,电影名称：借东西的小人阿莉埃蒂
电影时间：1996 ,电影评分：8.9 ,电影评论：494468人评价 ,电影名称：甜蜜蜜       
电影时间：1987 ,电影评分：8.8 ,电影评论：686015人评价 ,电影名称：倩女幽魂      
电影时间：2015 ,电影评分：9.0 ,电影评论：356187人评价 ,电影名称：小森林 冬春篇   
电影时间：1995 ,电影评分：8.9 ,电影评论：431427人评价 ,电影名称：侧耳倾听      
电影时间：2013 ,电影评分：8.8 ,电影评论：608428人评价 ,电影名称：时空恋旅人     
